Cidade,ESCOLA_FUNDAMENTAL,Evadiu,N_FILHOS,CURSO,IDADE_INGRESSO,1CONCEITO,ETNIA,SEXO,IDADE,1ANOFALTA,ESTADO_CIVIL,TIPO_ESCOLA_ANTERIOR,CIDADE_ORIGEM,TIPO_CONCOMITANCIA,Forma_Ingresso
2,44,0,3,0,1,1,3,1,4,2.375,0,1,1,0,1
2,216,0,3,8,2,3,3,1,5,4.0,0,2,1,0,3
12,207,0,3,8,1,2,3,1,4,2.5294117647058822,0,1,0,0,1
19,110,0,3,3,2,3,3,0,5,8.666666666666666,0,2,0,0,3
2,189,0,3,8,2,2,5,1,5,2.6111111111111107,0,2,1,0,3
19,130,0,3,0,1,1,3,0,4,4.2,0,2,0,0,3
2,180,0,3,5,2,1,3,0,5,3.1428571428571432,0,2,1,0,3
2,116,0,3,0,2,2,3,0,5,2.6,0,2,1,0,3
12,174,1,3,0,2,2,3,1,5,1.4375,0,2,0,0,3
2,78,0,3,2,1,2,1,0,4,4.642857142857143,0,1,1,0,1
2,88,0,3,8,1,1,1,1,4,0.9375,0,1,1,0,1
44,220,0,3,8,1,2,3,1,4,5.5,0,1,0,0,1
12,174,0,3,3,2,1,3,1,5,0.7333333333333333,0,2,0,0,3
2,143,1,0,1,1,4,4,1,4,21.5,0,2,1,0,3
2,58,0,3,9,2,2,3,0,5,2.583333333333333,0,1,1,0,1
2,29,0,3,2,0,2,3,1,3,5.0625,0,1,1,0,1
2,33,0,3,7,2,2,3,1,5,1.2,0,1,1,0,1
27,117,1,3,2,2,2,3,1,5,1.9375,0,2,0,0,3
12,173,0,3,9,1,2,3,0,4,0.7333333333333333,0,2,0,0,3
2,89,1,3,1,3,2,3,1,6,6.928571428571429,0,1,1,0,1
2,209,0,3,9,2,1,3,0,5,1.4666666666666666,0,1,1,0,1
2,80,0,3,10,3,0,3,0,6,0.8666666666666667,0,1,1,0,1
2,123,0,3,1,2,2,3,1,5,4.0,0,2,1,0,3
12,174,0,3,3,2,1,3,0,5,2.8666666666666667,0,2,0,0,3
2,89,1,3,5,1,4,3,0,4,8.666666666666666,0,1,1,0,3
2,98,1,3,11,1,5,3,0,4,48.07692307692307,0,2,1,0,1
12,78,0,3,2,2,4,3,1,5,1.1538461538461535,0,1,0,0,1
2,89,0,3,5,2,1,3,0,5,0.9333333333333332,0,1,1,0,3
2,83,0,3,10,1,1,3,0,4,0.6666666666666666,0,1,1,0,1
46,11,0,3,0,2,1,3,0,5,2.933333333333333,0,1,0,0,2
46,11,0,3,6,1,2,3,1,4,3.6,0,1,0,0,1
50,128,1,3,2,1,3,3,0,4,1.7857142857142858,0,2,0,0,3
2,58,1,3,11,2,2,3,0,5,3.5384615384615383,0,1,1,0,1
2,31,0,3,1,1,1,3,1,4,2.0,0,1,1,0,1
2,89,0,3,3,2,1,3,0,5,1.5333333333333334,0,1,1,0,3
2,88,0,3,8,2,1,3,1,5,2.3529411764705883,0,1,1,0,1
12,224,0,3,2,1,2,3,0,4,3.5625,0,1,0,0,1
2,216,0,3,8,2,2,3,1,5,2.0,0,2,1,0,3
2,50,0,3,0,1,1,3,0,4,2.9,0,1,1,0,3
12,174,0,3,1,1,3,3,1,4,4.214285714285714,0,2,0,0,3
2,46,0,3,0,2,1,3,0,5,1.0,0,1,1,0,1
12,81,0,3,1,1,3,3,1,4,5.066666666666666,0,1,0,0,1
50,128,0,3,2,2,2,3,1,5,6.166666666666668,0,2,0,0,3
38,113,0,3,3,3,2,3,0,6,6.066666666666666,0,2,0,0,3
2,80,0,3,10,2,1,3,1,5,4.266666666666667,0,1,1,0,1
2,89,1,3,1,2,4,3,0,5,13.571428571428573,0,1,1,0,3
55,184,0,3,8,2,1,4,1,5,2.176470588235294,0,2,0,0,3
12,174,0,3,2,2,1,3,1,5,1.5,0,2,0,0,3
12,162,1,3,3,3,2,3,1,6,2.466666666666667,0,2,0,0,3
12,174,0,3,4,2,1,3,0,5,3.6875,0,2,0,0,1
2,13,0,3,1,2,1,3,0,5,0.9230769230769232,0,1,1,0,1
50,128,0,3,4,2,4,3,0,5,8.9375,0,2,0,0,3
2,80,1,3,8,3,5,3,1,6,46.352941176470594,0,1,1,0,1
2,123,0,3,5,1,3,3,0,4,7.142857142857142,0,2,1,0,3
2,202,0,3,2,2,2,3,0,5,3.0,0,1,1,0,1
2,58,0,3,7,2,1,3,1,5,0.4,0,1,1,0,1
6,2,1,3,5,3,2,3,0,6,7.066666666666666,0,2,0,0,1
2,202,0,3,4,2,2,3,1,5,4.133333333333334,0,1,1,0,1
2,204,0,3,8,2,1,3,0,5,1.625,0,1,1,0,1
2,80,0,3,5,2,2,3,0,5,3.6666666666666665,0,1,1,0,1
2,216,0,3,5,3,2,3,1,6,6.857142857142858,0,2,1,0,3
12,81,0,3,0,2,1,3,0,5,0.2857142857142857,0,1,0,0,1
2,10,1,3,1,2,2,1,1,5,1.7692307692307692,0,1,1,0,1
2,105,0,3,2,3,0,3,1,6,1.3571428571428572,0,2,1,0,1
2,207,0,3,0,2,1,3,0,5,1.4666666666666666,0,1,1,0,3
2,79,0,3,2,3,1,1,1,6,1.2,0,1,1,0,1
12,224,0,3,1,1,2,3,0,4,2.466666666666667,0,1,0,0,1
2,180,0,3,2,1,2,3,1,4,3.9230769230769234,0,2,1,0,3
2,81,1,3,9,1,5,3,0,4,48.30769230769231,0,1,1,0,1
2,29,0,3,7,2,1,3,1,5,0.13333333333333333,0,1,1,0,1
2,176,0,3,4,1,3,3,1,4,6.3125,0,2,1,0,3
12,33,0,3,10,3,0,3,0,6,0.9333333333333332,0,1,0,0,1
53,124,0,3,9,2,1,4,1,5,0.5714285714285714,0,2,0,0,3
2,180,0,3,10,1,0,3,0,4,1.0,0,2,1,0,3
